symbol,volume_10m
SLPUSDT,14285.9552274
SNXUSDT,203348.6681
SOLUSDT,47711398.7818
SOLVUSDT,8049.87839
SOMIUSDT,435663.17209999997
SONICUSDT,6001.192397
SOONUSDT,34733.990900000004
SOPHUSDT,136738.2088
SPACEUSDT,120159.776842
SPELLUSDT,13406.8494019
SPKUSDT,15509.44619
SPORTFUNUSDT,78608.24398
SPXUSDT,166766.3412
SQDUSDT,19068.4004
SSVUSDT,24865.99636
STABLEUSDT,604117.535829
STBLUSDT,22787.05057
STEEMUSDT,22659.66008
STGUSDT,84978.4625
STORJUSDT,29990.4678
STOUSDT,19446.46005
STRKUSDT,233842.90688
STXUSDT,119670.0184
SUIUSDT,3269514.48066
SUNUSDT,53527.38504
SUPERUSDT,110092.7576
SUSDT,110956.34006
SUSHIUSDT,87478.9569
SWARMSUSDT,60789.048200000005
SXTUSDT,34353.3185
SYNUSDT,149372.96234
SYRUPUSDT,95224.77612
SYSUSDT,8688.84038
TACUSDT,13133.274777999999
TAGUSDT,19420.3034852
TAIKOUSDT,10100.9918
TAKEUSDT,8006.05033
TAOUSDT,858787.9624
TAUSDT,31830.65724
THETAUSDT,158149.65039
THEUSDT,32886.30728
TIAUSDT,534528.5568
TLMUSDT,24316.448667
TNSRUSDT,55659.234903
TONUSDT,305455.03355
TOSHIUSDT,41815.6416835
TOWNSUSDT,18450.551121
TRADOORUSDT,28994.81
TRBUSDT,148801.3096
TREEUSDT,57454.7118
TRUMPUSDT,1256612.93423
TRUSTUSDT,26436.9926
TRUTHUSDT,23110.513342
TRUUSDT,13803.14646
TRXUSDT,404914.53415
TSTUSDT,12963.21614
TURBOUSDT,184298.675262
TURTLEUSDT,19770.16268
TUSDT,31570.00581
TUTUSDT,19855.7567
TWTUSDT,86043.1273
UAIUSDT,542129.6374
UBUSDT,8404.5268
UMAUSDT,17860.9881
UNIUSDT,1121114.844
USELESSUSDT,154492.22323
USTCUSDT,25294.317074
USUALUSDT,21960.71662
USUSDT,19697.07955
VANAUSDT,34144.482430000004
VANRYUSDT,26881.045324
VELODROMEUSDT,15176.702879999999
VELVETUSDT,7285.7501
VETUSDT,216258.636292
VFYUSDT,3638.47871
VICUSDT,16409.0867
VINEUSDT,18343.6758
VIRTUALUSDT,673299.34037
VTHOUSDT,10994.9435977
VVVUSDT,88320.46078
WALUSDT,108940.2921
WAXPUSDT,6778.004264
WCTUSDT,57827.33339
WETUSDT,158603.51091
WIFUSDT,1327797.27413
WLDUSDT,946605.5549999999
WLFIUSDT,932509.615
WOOUSDT,28197.51656
WUSDT,124619.153787
XAIUSDT,23605.16068
XANUSDT,18044.37871
XLMUSDT,874003.65081
XMRUSDT,976515.26714
XNYUSDT,12335.757727
XPINUSDT,11375.181369
XPLUSDT,689101.5046
XRPUSDT,27980701.67007
XTZUSDT,156665.1493
XVGUSDT,41863.845023
XVSUSDT,35508.2258
YALAUSDT,15540.73037
YBUSDT,32075.8845
YFIUSDT,45998.465
YGGUSDT,69502.88322999999
ZAMAUSDT,142494.55550000002
ZBTUSDT,71559.3904
ZECUSDT,5305435.31307
ZENUSDT,301296.8109
ZEREBROUSDT,12592.142670000001
ZETAUSDT,30883.762329999998
ZILUSDT,61141.065709999995
ZKCUSDT,66982.7221
ZKJUSDT,3889.446753
ZKPUSDT,188064.93609
ZKUSDT,1156504.8857
ZORAUSDT,1448430.49727
ZROUSDT,474887.64043
ZRXUSDT,54951.27384
币安人生USDT,362320.53426
我踏马来了USDT,1974354.186881
