ticker,volume,time,buy\short_price,min_price,min_price_time,max_price,max_price_time,RPS_(30%)_SL_1%,RPS_(30%)_SL_2%,RPS_(30%)_SL_3%,RPS_(30%)_SL_4%,RPS_(30%)_SL_5%,max_loss_%,RPB_(30%)_SL_1%,RPB_(30%)_SL_2%,RPB_(30%)_SL_3%,RPB_(30%)_SL_4%,RPB_(30%)_SL_5%,max_proffit_%
BTRUSDT,5.42,2026-01-17 08:31:16,0.06525,0.06525,,0.06525,,,,,,,,,,,,,
RAVEUSDT,8.06,2026-01-17 08:35:15,0.36,0.36,,0.36,,,,,,,,,,,,,
BIGTIMEUSDT,6.38,2026-01-17 09:09:15,0.02496,0.02496,,0.02496,,,,,,,,,,,,,
SLPUSDT,6.05,2026-01-17 09:12:15,0.0009745,0.0009745,,0.0009745,,,,,,,,,,,,,
XVGUSDT,5.17,2026-01-17 09:32:15,0.007363,0.007363,,0.007363,,,,,,,,,,,,,
ILVUSDT,5.87,2026-01-17 09:33:15,6.644,6.644,,6.644,,,,,,,,,,,,,
XVSUSDT,5.85,2026-01-17 09:34:15,5.711,5.711,,5.711,,,,,,,,,,,,,
ONEUSDT,6.56,2026-01-17 09:34:16,0.00425,0.00425,,0.00425,,,,,,,,,,,,,
STRKUSDT,5.11,2026-01-17 09:35:16,0.0862,0.0862,,0.0862,,,,,,,,,,,,,
OGUSDT,26.09,2026-01-17 09:37:15,4.265,4.265,,4.265,,,,,,,,,,,,,
LITUSDT,5.67,2026-01-17 09:41:15,1.901,1.901,,1.901,,,,,,,,,,,,,
VVVUSDT,5.15,2026-01-17 09:50:15,3.11,3.11,,3.11,,,,,,,,,,,,,
TANSSIUSDT,30.95,2026-01-17 09:59:15,0.01749,0.01749,,0.01749,,,,,,,,,,,,,
MBOXUSDT,5.87,2026-01-17 10:42:15,0.03346,0.03346,,0.03346,,,,,,,,,,,,,
YGGUSDT,7.41,2026-01-17 10:44:15,0.0772,0.0772,,0.0772,,,,,,,,,,,,,
SCRUSDT,8.89,2026-01-17 10:51:15,0.08501,0.08501,,0.08501,,,,,,,,,,,,,
SONICUSDT,9.44,2026-01-17 10:54:15,0.0736,0.0736,,0.0736,,,,,,,,,,,,,
MITOUSDT,19.36,2026-01-17 10:57:15,0.07704,0.07704,,0.07704,,,,,,,,,,,,,
