symbol,open,close,high,high_std,low,low_std,total_volume,quote_volume_1m_avg,quote_volume_std,taker_buy_base_volume_1m_avg,taker_buy_base_volume_std,taker_buy_quote_volume_1m_avg,taker_buy_quote_volume_std,trades_1m_avg,trades_std,volatility_1m_avg,volatility_std
SKYUSDT,0.06171,0.06163,0.06198,0.00019132278165357263,0.06095,0.00022137085738004267,216692.29674,3611.538279,3913.911041707812,25855.266666666666,35636.30598752006,1591.4602874999998,2190.818124343651,103.21666666666667,59.83369371812843,0.0020326390767233166,0.0010492377793924253
SLPUSDT,0.0007268,0.0007302,0.0007365,5.3075407394164845e-06,0.0007144,5.688450733847733e-06,74397.5509532,1239.9591825533332,1024.1037013536804,731423.2666666667,547394.6050310637,532.77240028,397.9955143106329,39.31666666666667,17.659195200836386,0.002685212862069912,0.0015350349139964061
SNXUSDT,0.342,0.341,0.347,0.0024980783575031945,0.335,0.002527755530623741,892442.4189,14874.040315,13691.32676548637,22444.355,24954.348101958178,7668.17717,8515.250567836365,66.76666666666667,51.77145560846447,0.004587523273302884,0.0021218323188140855
SOLUSDT,102.22,102.03,103.09,0.5478242532321653,100.33,0.5884850558994289,189128026.0203,3152133.767005,2120727.2362752114,15714.048833333332,10778.77521425074,1601958.907895,1093950.701136749,3700.0,1639.3341662011976,0.0032640731863991745,0.001498890750353908
SOLVUSDT,0.00934,0.00936,0.00944,4.9381485127994444e-05,0.00921,5.2671833401718124e-05,48908.79546,815.1465910000001,712.1319179526993,50149.8,48496.756020045264,469.46393716666665,454.0355825191658,23.1,11.441375998793271,0.002334953974390271,0.0011991661278421292
SOMIUSDT,0.2018,0.2051,0.2077,0.0021223720872731236,0.1997,0.002157279098156906,1691653.6949,28194.228248333333,26417.83265124609,62020.26666666667,59588.16460431328,12689.722346666667,12173.454545619441,260.0,143.44974907079683,0.0033106260058946525,0.0018410933968845734
SONICUSDT,0.04698,0.04738,0.04851,0.000298146629075995,0.04688,0.00025962222663896025,101003.850977,1683.3975162833333,2965.6420306018267,16553.653333333335,30836.142234658517,790.2907375,1485.9208231709827,43.4,58.08620128447907,0.0039097181644439614,0.0028865739013608713
SOONUSDT,0.1957,0.1927,0.1963,0.0010646595700034907,0.1911,0.00102871072839349,170403.8901,2840.0648349999997,2688.9142630712445,7540.566666666667,8134.137297326092,1459.6162033333335,1575.18548548494,55.983333333333334,37.22651308994919,0.0030984414121945753,0.0014988145716107913
SOPHUSDT,0.01083,0.011152,0.011403,0.00014131115145459306,0.010776,0.0001241214368006034,2181193.995335,36353.233255583335,47954.07412565576,1723430.7666666666,2485053.765393058,19108.46210128333,27865.873689404787,928.6166666666667,1124.7036534981517,0.005942947256668022,0.00333912849328345
SPACEUSDT,0.006039,0.006012,0.006064,2.7302133564524272e-05,0.005922,2.9476429346270844e-05,851116.853883,14185.28089805,8675.551011708472,1163262.7166666666,800813.7732955778,6982.116402233333,4804.317456779916,396.18333333333334,186.48246990513857,0.0048441318077519745,0.002303095358628983
